GEOID,state,county,muni,county_muni,cd_2010,cd_2020,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_duc,uss_16_rep_kir,gov_18_dem_pri,gov_18_rep_rau,atg_18_dem_rao,atg_18_rep_har,sos_18_dem_whi,sos_18_rep_hel,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_dur,uss_20_rep_cur,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv,area_land,area_water,adj,pseudo_county,geometry_wkt
17001001001,IL,Adams County,NA,Adams County,18,15,1001,958,13,887,10,0,4,0,3,41,773,9,724,10,0,2,0,1,27,76,359,175,260,74,210,58,278,147,192,91,383,98,361,309.5,125.5,226.7,93,372,94.5,291.9,102.7,95748292,24796,1;2;11;14;158;8993,1,"MULTIPOLYGON (((70164.3 385324.2, 72828.85 385174.6, 78357.31 384876.6, 80001.64 384797.5, 80001.58 384789.5, 79922.69 382392, 79846.24 380855, 79803.52 379249.6, 79727.01 377415.5, 79619.25 375195.8, 70628.57 375553.2, 69706.94 375578.5, 69691.67 375579.4, 69786.7 377765.2, 69993.56 382075.8, 70164.3 385324.2)))"
17001002001,IL,Adams County,NA,Adams County,18,15,2001,836,14,783,1,2,7,0,1,28,647,6,616,1,2,3,0,0,19,72,350,138,283,53,234,47,286,141,194,69,381,75,376,316.5,105,238,80.3,378.5,72,300.6,85,96215108,41990,0;4;5617;8993,1,"MULTIPOLYGON (((70587.4 395074.4, 77917.27 394734.9, 80415.31 394628.9, 80323.14 392639.3, 80185.68 389349, 80136.1 387953.4, 80001.64 384797.5, 78357.31 384876.6, 72828.85 385174.6, 70164.3 385324.2, 70396.31 390145, 70497.75 392933.6, 70587.4 395074.4)))"
17001003001,IL,Adams County,10877,Adams County10877,18,15,3001,756,8,716,2,0,1,0,2,27,562,8,536,2,0,1,0,2,13,69.1,331.6,118.2,267.5,42,202,37,245,100,182,59,349,65,344,299.5,93.6,209.7,59.7,346.5,62,274.4,70,32070175,14724,0;3;4;14,1,"MULTIPOLYGON (((66850.46 385457.2, 70164.3 385324.2, 69993.56 382075.8, 69786.7 377765.2, 69691.67 375579.4, 67281.02 375678.9, 66448.91 375722.7, 66396.36 376076.1, 66463.81 377681.1, 66717.54 377763.4, 66767.77 378233.3, 66801.15 379011.4, 66517.85 379024.7, 66794.72 385240.8, 66850.46 385457.2)))"
17001003002,IL,Adams County,NA,Adams County,18,15,3002,898,12,848,2,2,7,0,5,22,666,6,636,2,1,4,0,1,16,46.9,375.4,117.8,295.5,41,250,34,297,111,225,49,403,56,395,335.5,82.4,257.3,62,399,52.5,320.1,65.1,65219399,155448,2;4;5;14,1,"MULTIPOLYGON (((60097.7 385752.8, 63532.42 385588.1, 66850.46 385457.2, 66794.72 385240.8, 66517.85 379024.7, 66801.15 379011.4, 66767.77 378233.3, 66717.54 377763.4, 66463.81 377681.1, 66396.36 376076.1, 66448.91 375722.7, 64924.71 375789.2, 59733.08 376066.5, 59798.91 377718.9, 59880.31 381013.2, 60097.7 385752.8)))"
17001004001,IL,Adams County,NA,Adams County,18,15,4001,186,3,178,0,1,0,0,1,3,136,2,132,0,0,0,0,1,1,16,112,30,97,12,84,13,92,36,69,18,117,23,112,104.5,23,81.7,20.3,114.5,20.5,97.6,21.1,98201796,40004,1;2;3;6;5616,1,"MULTIPOLYGON (((60563.17 395504.2, 61733.66 395461.6, 67339.31 395221.6, 70587.4 395074.4, 70497.75 392933.6, 70396.31 390145, 70164.3 385324.2, 66850.46 385457.2, 63532.42 385588.1, 60097.7 385752.8, 60256.97 388995.5, 60358.67 391284.8, 60563.17 395504.2)))"
17001005001,IL,Adams County,NA,Adams County,18,15,5001,747,13,704,2,0,1,0,2,25,564,4,541,0,0,0,0,2,17,68.8,329.3,142.6,258.6,46.4,234.3,45.3,268.4,123,196.7,63.5,341.4,66.5,335.2,294,105.7,233.1,71.5,338.3,65,280.6,79.4,94835598,218903,3;6;7;17,1,"MULTIPOLYGON (((50386.68 386320.9, 55097.07 386079.5, 57161.3 385938.7, 60097.7 385752.8, 59880.31 381013.2, 59798.91 377718.9, 59733.08 376066.5, 53913.92 376370.7, 52179.14 376441.7, 49919.87 376559.8, 50061.49 379758.7, 50091.75 380657.1, 50336.61 385213.2, 50386.68 386320.9)))"
17001006001,IL,Adams County,NA,Adams County,18,15,6001,595,5,554,2,0,0,0,1,33,471,4,446,2,0,0,0,1,18,53,232.3,106.8,167.3,44.9,171.6,46.9,186.5,113.7,123.7,62.8,266.3,65.8,253.4,199.8,79.9,160.6,68.5,259.9,64.3,200.2,70.6,93940815,359961,4;5;7;9;5615,1,"MULTIPOLYGON (((50638.3 391151.3, 50894.97 396012.8, 55243.23 395816.7, 57008.28 395702.5, 60563.17 395504.2, 60358.67 391284.8, 60256.97 388995.5, 60097.7 385752.8, 57161.3 385938.7, 55097.07 386079.5, 50386.68 386320.9, 50638.3 391151.3)))"
17001007001,IL,Adams County,NA,Adams County,18,15,7001,573,11,542,7,0,0,0,1,12,453,8,435,2,0,0,0,0,8,48.7,339.8,118.6,264.1,37.1,237.3,29.3,258.5,101,189.4,50.6,346.7,52.8,336.2,301.9,83.6,228.4,55.8,341.5,51.7,281.7,62.6,92804867,296878,5;6;8;9;10;21,1,"MULTIPOLYGON (((44007.7 390205.5, 44430.83 389944.3, 44641.76 389966.7, 44909.52 390128.3, 45310.96 390112, 45504.14 390197.9, 45647.28 390544.6, 45378.19 391227.3, 45381.75 391365.9, 45630.81 391615.1, 46278.66 391790.2, 46340.91 391850.6, 46004.11 392422, 46129.56 392545.6, 46637.88 392382.8, 46776.2 392580.3, 46747.64 392736.2, 46958.46 392898, 47355.76 392867.2, 47474.81 393055.3, 47735.42 392979.7, 47821.74 392690.9, 47739.54 392298, 47730.76 391983.7, 47882.3 391954.1, 48146.62 391750.5, 48137.81 391393.6, 48318.39 391036.5, 48501.44 390804.4, 48791.42 390670.1, 48979.19 390780.1, 48999.46 391216.2, 50638.3 391151.3, 50386.68 386320.9, 50336.61 385213.2, 50091.75 380657.1, 50061.49 379758.7, 49919.87 376559.8, 45158.75 376788.6, 43459.7 376876.2, 43497.9 377825.4, 43728.98 382997.2, 43744.64 383872.4, 43809.61 384710.7, 43889.25 386569.3, 43838.97 386571.8, 44007.7 390205.5), (46781.81 384025.6, 47416.43 383998.7, 47402.89 383633.4, 47814.78 383613, 47802.64 383456, 48051.75 383448, 48042.69 383157.3, 48605.06 383136.3, 48633.43 383724.2, 48854.43 383736.6, 48865.41 383934.1, 49282.05 383918.6, 49471.48 384276, 49036.06 384298.9, 48683.98 384409.3, 48950.63 384743.6, 47450.7 384804.4, 47417.34 384049.1, 47012.84 384067.8, 47022.45 384278.7, 46792.47 384288.5, 46781.81 384025.6)))"
17001007002,IL,Adams County,NA,Adams County48307,18,15,7002,872,5,831,0,0,0,0,5,31,633,2,613,0,0,0,0,3,15,66.1,290,135.9,205.7,53.7,190.9,54.7,214.9,117,159.2,57.5,323.3,71.9,301.2,247.9,101,188.3,75.1,312.2,64.7,240.7,79.6,2218848,0,7,1,"MULTIPOLYGON (((46781.81 384025.6, 46792.47 384288.5, 47022.45 384278.7, 47012.84 384067.8, 47417.34 384049.1, 47450.7 384804.4, 48950.63 384743.6, 48683.98 384409.3, 49036.06 384298.9, 49471.48 384276, 49282.05 383918.6, 48865.41 383934.1, 48854.43 383736.6, 48633.43 383724.2, 48605.06 383136.3, 48042.69 383157.3, 48051.75 383448, 47802.64 383456, 47814.78 383613, 47402.89 383633.4, 47416.43 383998.7, 46781.81 384025.6)))"
17001008001,IL,Adams County,NA,Adams County,18,15,8001,514,12,482,0,1,0,0,2,17,394,6,376,0,0,0,0,2,10,42.1,213.6,85.6,160.6,28.9,163.1,27.8,173.9,78.9,131.3,42.3,242.1,51.7,226.9,187.1,63.9,156.1,45.2,234.5,47,187.4,51,142746303,6954274,6;7;10;5613;5614;5615,1,"MULTIPOLYGON (((29929.5 397025.5, 30959.75 397001.1, 34929.17 396830.2, 36670.3 396763.4, 37322.35 396722.1, 38324.73 396692.4, 40821.11 396556.7, 43282.03 396418.9, 46497.41 396258, 50889.69 396013, 50894.97 396012.8, 50638.3 391151.3, 48999.46 391216.2, 48979.19 390780.1, 48791.42 390670.1, 48501.44 390804.4, 48318.39 391036.5, 48137.81 391393.6, 48146.62 391750.5, 47882.3 391954.1, 47730.76 391983.7, 47739.54 392298, 47821.74 392690.9, 47735.42 392979.7, 47474.81 393055.3, 47355.76 392867.2, 46958.46 392898, 46747.64 392736.2, 46776.2 392580.3, 46637.88 392382.8, 46129.56 392545.6, 46004.11 392422, 46340.91 391850.6, 46278.66 391790.2, 45630.81 391615.1, 45381.75 391365.9, 45378.19 391227.3, 45647.28 390544.6, 45504.14 390197.9, 45310.96 390112, 44909.52 390128.3, 44641.76 389966.7, 44430.83 389944.3, 44007.7 390205.5, 43646.99 390305.8, 43215.99 390182.5, 43113.08 389830.5, 43521.77 389660, 43767.43 389452.4, 43816.49 389086.6, 43554.24 388965.9, 43098.24 389111.7, 42450.23 388695.8, 42242.12 388624.7, 42173.81 388804.3, 42154.65 389174.1, 42247.51 389487.5, 42089.87 389687.2, 41858.82 389608.8, 41590.97 389637.2, 41093.37 389877.1, 40893.87 389695.9, 41030.75 389483.7, 41024.27 389311.7, 41176.75 388896.6, 40983.13 388698, 40383.38 388581.6, 40369.79 388362.1, 39608.94 388402.5, 39229.5 388166, 39120.3 388011.9, 38853.75 387906.5, 38357.9 387801, 38143.4 387880.7, 37671.75 388279.5, 37452.72 388533.3, 30757.75 388906.2, 29169.16 388952.6, 29202.39 389399.4, 29124.67 390304.3, 29169.75 390753.1, 29171.93 391419.3, 29492.16 392341.6, 29224.95 393771.9, 29161.5 394674.5, 29251.09 395358.6, 29373.2 395807.6, 29512.96 396085.5, 29875.38 396547.1, 29972.63 396839, 29929.5 397025.5)))"
