"draw","district","total_pop","chain"
"cd_2020",1,758905,NA
"cd_2020",2,749190,NA
"cd_2020",3,754269,NA
"cd_2020",4,754380,NA
"cd_2020",5,754242,NA
"cd_2020",6,756238,NA
"cd_2020",7,745883,NA
"cd_2020",8,752200,NA
"cd_2020",9,754527,NA
"cd_2020",10,753930,NA
"cd_2020",11,753542,NA
"cd_2020",12,756658,NA
"cd_2020",13,753908,NA
"cd_2020",14,752848,NA
"cd_2020",15,752707,NA
"cd_2020",16,757898,NA
"cd_2020",17,751183,NA
"1",1,751365,1
"1",2,751252,1
"1",3,753288,1
"1",4,751065,1
"1",5,754152,1
"1",6,752007,1
"1",7,755851,1
"1",8,753171,1
"1",9,754542,1
"1",10,753619,1
"1",11,751365,1
"1",12,757398,1
"1",13,755090,1
"1",14,754696,1
"1",15,752475,1
"1",16,754810,1
"1",17,756362,1
"2",1,755211,1
"2",2,757348,1
"2",3,751569,1
"2",4,754542,1
"2",5,754630,1
"2",6,752118,1
"2",7,754715,1
"2",8,757108,1
"2",9,752890,1
"2",10,755800,1
"2",11,753316,1
"2",12,752597,1
"2",13,750047,1
"2",14,753280,1
"2",15,750384,1
"2",16,753102,1
"2",17,753851,1
"3",1,754394,1
"3",2,755277,1
"3",3,753223,1
"3",4,754052,1
"3",5,753590,1
"3",6,754362,1
"3",7,752055,1
"3",8,757367,1
"3",9,753648,1
"3",10,753031,1
"3",11,754099,1
"3",12,757365,1
"3",13,751684,1
"3",14,750298,1
"3",15,750694,1
"3",16,756342,1
"3",17,751027,1
"4",1,755766,1
"4",2,755795,1
"4",3,750382,1
"4",4,752803,1
"4",5,755090,1
"4",6,757047,1
"4",7,753138,1
"4",8,756509,1
"4",9,749996,1
"4",10,752271,1
"4",11,754837,1
"4",12,752893,1
"4",13,750554,1
"4",14,754184,1
"4",15,751295,1
"4",16,754456,1
"4",17,755492,1
"5",1,754852,1
"5",2,752414,1
"5",3,753005,1
"5",4,753658,1
"5",5,751459,1
"5",6,750822,1
"5",7,755493,1
"5",8,752425,1
"5",9,756251,1
"5",10,754891,1
"5",11,757023,1
"5",12,751267,1
"5",13,757153,1
"5",14,755401,1
"5",15,752567,1
"5",16,752680,1
"5",17,751147,1
"6",1,751958,1
"6",2,755997,1
"6",3,753704,1
"6",4,750765,1
"6",5,752980,1
"6",6,751981,1
"6",7,754239,1
"6",8,755863,1
"6",9,752574,1
"6",10,754308,1
"6",11,754445,1
"6",12,757328,1
"6",13,753193,1
"6",14,755264,1
"6",15,753037,1
"6",16,752323,1
"6",17,752549,1
"7",1,755842,1
"7",2,752747,1
"7",3,751236,1
"7",4,754454,1
"7",5,754179,1
"7",6,752232,1
"7",7,754924,1
"7",8,753423,1
"7",9,755136,1
"7",10,754507,1
"7",11,750668,1
"7",12,755321,1
"7",13,753540,1
"7",14,755116,1
"7",15,753528,1
"7",16,753206,1
"7",17,752449,1
"8",1,756791,1
"8",2,754821,1
"8",3,755664,1
"8",4,753784,1
"8",5,753815,1
"8",6,752546,1
"8",7,753680,1
"8",8,751964,1
"8",9,750250,1
"8",10,752347,1
"8",11,754895,1
"8",12,755035,1
"8",13,755290,1
"8",14,750559,1
"8",15,751923,1
"8",16,752639,1
"8",17,756505,1
"9",1,751138,1
"9",2,756963,1
"9",3,750087,1
"9",4,756650,1
"9",5,753724,1
"9",6,753792,1
"9",7,753636,1
"9",8,750799,1
"9",9,754817,1
"9",10,756030,1
"9",11,753307,1
"9",12,757248,1
"9",13,751325,1
"9",14,755101,1
"9",15,750703,1
"9",16,753288,1
"9",17,753900,1
"10",1,752555,1
"10",2,753465,1
"10",3,755895,1
"10",4,756191,1
"10",5,753024,1
"10",6,753280,1
"10",7,753093,1
"10",8,754027,1
"10",9,753956,1
"10",10,755751,1
"10",11,753572,1
"10",12,753743,1
"10",13,755366,1
"10",14,751665,1
"10",15,751358,1
"10",16,753109,1
"10",17,752458,1
"11",1,752935,1
"11",2,755770,1
"11",3,754425,1
"11",4,750589,1
"11",5,752104,1
"11",6,750675,1
"11",7,751786,1
"11",8,753429,1
"11",9,752660,1
"11",10,754894,1
"11",11,754430,1
"11",12,755029,1
"11",13,754442,1
"11",14,753619,1
"11",15,755242,1
"11",16,754492,1
"11",17,755987,1
"12",1,752435,1
"12",2,756799,1
"12",3,753446,1
"12",4,751467,1
"12",5,752237,1
"12",6,755077,1
"12",7,754935,1
"12",8,752061,1
"12",9,750746,1
"12",10,757298,1
"12",11,751440,1
"12",12,754656,1
"12",13,752230,1
"12",14,755780,1
"12",15,753496,1
"12",16,753814,1
"12",17,754591,1
"13",1,750356,1
"13",2,754250,1
"13",3,755116,1
"13",4,754399,1
"13",5,753007,1
"13",6,755160,1
"13",7,755195,1
"13",8,754108,1
"13",9,753622,1
"13",10,755704,1
"13",11,754634,1
"13",12,751017,1
"13",13,751561,1
"13",14,752742,1
"13",15,754040,1
"13",16,755339,1
"13",17,752258,1
"14",1,752736,1
"14",2,757097,1
"14",3,751995,1
"14",4,755586,1
"14",5,752484,1
"14",6,755942,1
"14",7,752600,1
"14",8,755299,1
"14",9,751443,1
"14",10,751066,1
"14",11,755443,1
"14",12,753726,1
"14",13,755131,1
"14",14,754907,1
"14",15,753031,1
"14",16,753929,1
"14",17,750093,1
"15",1,750539,1
"15",2,756006,1
"15",3,751197,1
"15",4,756475,1
"15",5,755422,1
"15",6,754532,1
"15",7,756533,1
"15",8,754991,1
"15",9,752638,1
"15",10,753449,1
"15",11,750463,1
"15",12,753391,1
"15",13,753469,1
"15",14,754540,1
"15",15,755021,1
"15",16,749994,1
"15",17,753848,1
"16",1,754500,1
"16",2,752602,1
"16",3,757243,1
"16",4,752263,1
"16",5,755786,1
"16",6,751993,1
"16",7,751163,1
"16",8,756810,1
"16",9,752299,1
"16",10,752386,1
"16",11,754688,1
"16",12,754023,1
"16",13,754605,1
"16",14,751717,1
"16",15,752938,1
"16",16,755183,1
"16",17,752309,1
"17",1,751340,1
"17",2,751465,1
"17",3,757013,1
"17",4,751216,1
"17",5,751301,1
"17",6,752858,1
"17",7,754863,1
"17",8,753086,1
"17",9,751944,1
"17",10,754145,1
"17",11,752605,1
"17",12,754209,1
"17",13,756961,1
"17",14,756533,1
"17",15,754452,1
"17",16,754834,1
"17",17,753683,1
"18",1,755134,1
"18",2,755546,1
"18",3,753328,1
"18",4,754654,1
"18",5,753909,1
"18",6,751678,1
"18",7,751963,1
"18",8,751442,1
"18",9,756251,1
"18",10,753827,1
"18",11,754670,1
"18",12,751749,1
"18",13,751107,1
"18",14,755945,1
"18",15,756144,1
"18",16,750878,1
"18",17,754283,1
"19",1,750875,1
"19",2,755366,1
"19",3,755224,1
"19",4,751732,1
"19",5,752816,1
"19",6,755441,1
"19",7,755726,1
"19",8,754850,1
"19",9,749955,1
"19",10,752568,1
"19",11,751695,1
"19",12,753948,1
"19",13,756624,1
"19",14,753387,1
"19",15,752737,1
"19",16,755875,1
"19",17,753689,1
"20",1,752411,1
"20",2,752196,1
"20",3,755071,1
"20",4,756095,1
"20",5,753135,1
"20",6,754619,1
"20",7,753328,1
"20",8,753349,1
"20",9,751173,1
"20",10,754530,1
"20",11,754664,1
"20",12,753773,1
"20",13,756630,1
"20",14,750134,1
"20",15,754099,1
"20",16,751791,1
"20",17,755510,1
"21",1,750289,1
"21",2,750794,1
"21",3,754455,1
"21",4,754936,1
"21",5,754863,1
"21",6,754961,1
"21",7,754972,1
"21",8,755321,1
"21",9,751134,1
"21",10,750399,1
"21",11,754291,1
"21",12,752306,1
"21",13,753723,1
"21",14,756352,1
"21",15,754958,1
"21",16,754905,1
"21",17,753849,1
"22",1,755343,1
"22",2,753137,1
"22",3,751023,1
"22",4,752050,1
"22",5,753602,1
"22",6,753298,1
"22",7,750748,1
"22",8,756277,1
"22",9,754306,1
"22",10,757178,1
"22",11,751488,1
"22",12,754166,1
"22",13,754786,1
"22",14,752926,1
"22",15,753357,1
"22",16,756269,1
"22",17,752554,1
"23",1,752411,1
"23",2,752313,1
"23",3,755071,1
"23",4,756095,1
"23",5,753135,1
"23",6,753063,1
"23",7,753328,1
"23",8,753349,1
"23",9,751173,1
"23",10,754530,1
"23",11,751075,1
"23",12,753773,1
"23",13,756630,1
"23",14,750134,1
"23",15,754099,1
"23",16,756819,1
"23",17,755510,1
"24",1,750510,1
