district,comp_bc,comp_box_reock,comp_ch,comp_lw,comp_polsby,comp_reock,comp_schwartz,comp_skew,area_m2,perim_m
1,0.778785940571221,0.41356854809193,0.582234686268808,0.728893508575031,0.138321959443105,0.259942228022229,0.37191660280647,0.264174845687704,1639345885.00866,385917.669265685
2,0.875368562260667,0.522031919909617,0.760666398870611,0.478254654052649,0.280175016135996,0.317832292282159,0.529315611082836,0.409266667779129,10152803326.6771,674812.65101057
3,0.714007448820877,0.304991181845226,0.416875266807362,0.566550447189462,0.0777925645150749,0.192522812625554,0.27891318454866,0.194429878305533,407864495.911992,256681.068655196
4,0.800709247764174,0.481404558687349,0.552256249499739,0.889359472784402,0.108639125893509,0.38565225000166,0.32960449920095,0.256448277447116,250020894.451944,170059.130003745
5,0.62065780631234,0.350994231177956,0.478155704338801,0.705074317422023,0.0526925247759888,0.149415239420473,0.229548523793966,0.14229192623477,408359719.257144,312069.89590854
6,0.772794818256644,0.55596746075906,0.654602884988059,0.906975325817069,0.153592555250518,0.386593597673902,0.391908860898191,0.328252828391629,596057696.746963,220833.013727153
7,0.58497651628459,0.367187967069751,0.502272308194541,0.668546370808788,0.105970673776227,0.289911466867881,0.325531371416376,0.198196651988439,178575993.200356,145520.313379296
8,0.826881025166612,0.444984675610885,0.591635021893998,0.610230678106566,0.103872488498582,0.309611826571508,0.322292551106262,0.246445892091338,751660826.183491,301554.367166291
9,0.859750242057869,0.433673819212349,0.592244697721582,0.566631685252731,0.167220849029205,0.235717510962075,0.408926459194321,0.356967797103734,2197819331.35733,406401.885730013
10,0.842187899976026,0.665533852325293,0.858652084812462,0.394479364968552,0.351220988888433,0.327894061853816,0.592639003853469,0.31654754190399,3720482366.96757,364849.97986098
11,0.75322690604366,0.408158159888783,0.521941015398912,0.959151727770755,0.135223178642726,0.270760075511872,0.367727043665171,0.282484083255221,2342277631.2385,466550.379690584
12,0.862697540085114,0.519214354326612,0.782961571051165,0.834223947132817,0.250196044300544,0.460714069995429,0.500196005882238,0.454799098211474,36972930525.1684,1362720.06258355
13,0.791197502007537,0.257536259929993,0.383725849120932,0.995060070115662,0.0853428313981148,0.115239090405633,0.292134954084777,0.149959543411859,5977525557.13525,938171.26993089
14,0.85663578674586,0.493462681899981,0.683680843582265,0.89668304354999,0.255106131799734,0.421324430489959,0.505080322126821,0.330494832645397,5245076108.91499,508300.316879568
15,0.852398281408685,0.499550112508643,0.643027652137843,0.883153265544401,0.118905276944127,0.418103928819685,0.344826444670543,0.323049663473725,43978201766.0382,2155872.64189092
16,0.746162346438138,0.472754189862705,0.576206292369953,0.795323741969334,0.0893541702386643,0.316657062927483,0.298921679104518,0.232763610558062,23344431283.6902,1811920.62245238
17,0.65914761184734,0.284406502191132,0.350450756522692,0.769219434959396,0.0747622919094561,0.232074963598495,0.273426940716265,0.179483732924851,11867295756.459,1412340.8208199
