district,comp_bc,comp_box_reock,comp_ch,comp_edges_rem,comp_lw,comp_polsby,comp_reock,comp_schwartz,comp_skew,area_m2,perim_m
1,0.7586539234308387,0.5199324115224446,0.6719285885308767,1516,0.8192978960053938,0.18034735355500503,0.26110740702025853,0.4246732315027697,0.23038793429702953,21250695959.36425,12446878.448391346
2,0.884086909904652,0.5670425278065717,0.7923332963451302,1516,0.9845722129690715,0.2669012499497109,0.36881281707945146,0.5166248638516256,0.4086091142670783,16475047047.22728,9231669.705275936
3,0.9229547515382706,0.7591158825980014,0.9034403125578819,1516,0.8557118216792444,0.3478592693872461,0.6427173805738565,0.5897959557230332,0.5984192186826447,26064552728.566246,14413962.522308353
4,0.8441815379642761,0.8682490982585978,0.9369133317058137,1516,0.45378240755085203,0.46433002143622837,0.40576849685529126,0.6814176556534387,0.37749821378917375,3280772860.641869,4560964.67605373
5,0.844300480781156,0.8801131203941303,0.965939713325292,1516,0.4730747074786454,0.5063439071801417,0.4389888446379785,0.7115784617174282,0.39341987483249263,3266994091.127997,2612037.4873996717
6,0.9075237938851545,0.5267002397807234,0.7500568743516857,1516,0.5136532483232712,0.2888316044170539,0.3097058047859458,0.5374305577626322,0.3998749229073467,2272277982.9015546,2619465.1311357766
7,0.7806901732904291,0.6140804024173108,0.7948534863710349,1516,0.5166848381888094,0.2964973441943683,0.2682615334889127,0.5445156969219236,0.30143538942667036,225639365.96508852,1543907.3916745626
8,0.8436878163603589,0.6253187325893432,0.783884622138222,1516,0.7801472666167696,0.28404643452378753,0.44617213448989246,0.5329600684139363,0.4036899255160419,231065112.25151503,1922866.6476066578
9,0.7245422229959138,0.5683171489832053,0.7248240626117555,1516,0.26619738079485883,0.1586841014375861,0.18471951418681373,0.39835173080782027,0.16892143591324996,1163260813.9902797,2271910.7865564027
10,0.7729293665063437,0.402888174758074,0.6558505518997945,1516,0.489595559410175,0.1496609133274007,0.24598851407530073,0.38686032793167185,0.22342436290963122,1711067232.325286,3361368.5596879194
11,0.8987673191279959,0.6834927895044123,0.8434235537656658,1516,0.6762406736898607,0.2986251447665899,0.48267435296180955,0.5464660508820195,0.5088788801410823,322014034.1600954,1934562.4947511512
12,0.8067601459606518,0.597675886353082,0.7017711792259288,1516,0.5476426477144173,0.22507055376928808,0.3110663919060145,0.47441601339888184,0.26745531075131157,1419644503.989339,3373967.3381005297
13,0.7500320500538626,0.6258156784832288,0.7952689009407153,1516,0.5064014147068331,0.20791672574692668,0.23447790899423443,0.4559788654608091,0.23690338697768742,1286942608.1469097,2988386.1742992597
14,0.7662965460478495,0.36269994032408115,0.4769544653157308,1516,0.5411688262682458,0.13201527921656345,0.19865490315009296,0.3633390692129921,0.24995439155089114,1318375850.5863445,3162430.2212083163
15,0.7665082262785058,0.56547978882356,0.7350576626494761,1516,0.6218931463215622,0.19776587872218854,0.38736296681237975,0.444708757190803,0.31275740792091555,17169816386.116322,10457517.203681044
16,0.8527599066891394,0.5677182260092574,0.7365373826741753,1516,0.7230584473076913,0.16372302942175784,0.4206155512889917,0.4046270250758813,0.3581584891588966,33107493959.421627,18365204.19560497
17,0.8153379704766603,0.2206461197852564,0.33427131669877924,1516,0.5198199201132759,0.0904572054366092,0.10984210754647993,0.3007610437483704,0.15126035672462587,19429393945.024673,13565139.29787745
average,0.8200007730171799,0.5856050687288988,0.7413711353592917,1516,0.6052319067728811,0.25053388332285015,0.3362903899913944,0.4890885514856492,0.3288852126921629,8823238498.929804,6401896.369506652
